ra,nome,fase,turma,idade,genero,ano_ingresso,instituicao,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,situacao,inde,pedra,ano,fase_num,anos_na_pm,risco_defasagem_atual,categoria_defasagem
RA-161,Aluno-161,5L,5L,15.0,Feminino,2021,Privada - Programa de Apadrinhamento,8.751,7.965686274666666,6.26,7.96875,4.0,7.836666667,10.0,Fase 5 (1° EM),0,Cursando,7.258445588333334,Ametista,2024,5.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1610,Aluno-1610,5F,5F,17.0,Masculino,2024,Pública,9.168,7.753697970666667,7.51,7.291666667,5.166666666666667,6.106666667,5.0,Fase 7 (3° EM),-2,Cursando,6.7023729275666675,Ágata,2024,5.0,0.0,1,Severa (≤ −2 fases)
RA-1611,Aluno-1611,5F,5F,17.0,Masculino,2024,Pública,7.083,8.361426442,7.51,7.5,4.5,5.886666667,5.0,Fase 7 (3° EM),-2,Cursando,6.4589186218000005,Ágata,2024,5.0,0.0,1,Severa (≤ −2 fases)
RA-1612,Aluno-1612,5F,5F,18.0,Masculino,2024,Pública,6.666,8.523809523666666,7.51,7.708333333,6.166666666666667,6.94,5.0,Fase 7 (3° EM),-2,Cursando,7.014528571366666,Ametista,2024,5.0,0.0,1,Severa (≤ −2 fases)
RA-1613,Aluno-1613,5G,5G,17.0,Feminino,2024,Pública,8.334,7.1428571430000005,7.51,7.291666667,3.0,6.216666667,5.0,Fase 7 (3° EM),-2,Cursando,6.085471428700001,Ágata,2024,5.0,0.0,1,Severa (≤ −2 fases)
RA-1614,Aluno-1614,5L,5L,16.0,Masculino,2024,Pública,7.5,6.574494949666668,7.51,7.5,6.5,7.11,5.0,Fase 6 (2° EM),-1,Cursando,6.787898989933334,Ágata,2024,5.0,0.0,1,Moderada (−1 fase)
RA-1615,Aluno-1615,5M,5M,15.0,Feminino,2024,Pública,7.917,9.833333333333334,7.51,7.5,8.333333333333334,7.4575,10.0,Fase 5 (1° EM),0,Cursando,8.417533333333333,Topázio,2024,5.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1616,Aluno-1616,5M,5M,17.0,Feminino,2024,Pública,8.334,8.436274509666667,7.51,7.1875,6.166666666666667,7.12,5.0,Fase 6 (2° EM),-1,Cursando,7.147738235266668,Ametista,2024,5.0,0.0,1,Moderada (−1 fase)
RA-1617,Aluno-1617,5M,5M,16.0,Feminino,2024,Pública,0.0,5.571428571333333,7.51,6.875,3.25,6.1175,5.0,Fase 6 (2° EM),-1,Cursando,4.926285714266666,Quartzo,2024,5.0,0.0,1,Moderada (−1 fase)
RA-1618,Aluno-1618,5M,5M,17.0,Masculino,2024,Pública,8.334,7.908496732000001,7.51,7.5,6.333333333333333,6.83,5.0,Fase 6 (2° EM),-1,Cursando,7.0487660130666665,Ametista,2024,5.0,0.0,1,Moderada (−1 fase)
