ra,nome,fase,turma,idade,genero,ano_ingresso,instituicao,iaa,ieg,ips,ipp,ida,ipv,ian,fase_ideal,defasagem,situacao,inde,pedra,ano,fase_num,anos_na_pm,risco_defasagem_atual,categoria_defasagem
RA-1,Aluno-1,7,A,19.0,Menina,2016,Escola Pública,8.3,4.1,5.6,,4.0,7.278,5.0,Fase 8 (Universitários),-1,,5.783,Quartzo,2022,7.0,6.0,1,Moderada (−1 fase)
RA-1,Aluno-1,FASE 8,8E,,Feminino,2016,Privada *Parcerias com Bolsa 100%,,,,,,,10.0,Fase 8 (Universitários),0,,,,2023,8.0,7.0,0,Adequada/adiantada (≥ 0)
RA-1,Aluno-1,8E,8E,21.0,Feminino,2021,Privada *Parcerias com Bolsa 100%,,0.0,,,,,10.0,Fase 8 (Universitários),0,Cursando,,,2024,8.0,3.0,0,Adequada/adiantada (≥ 0)
RA-10,Aluno-10,7,A,18.0,Menina,2021,Escola Pública,8.3,5.2,5.0,,4.1,7.056,5.0,Fase 8 (Universitários),-1,,5.784,Quartzo,2022,7.0,1.0,1,Moderada (−1 fase)
RA-100,Aluno-100,4,A,13.0,Menina,2019,Rede Decisão,8.8,7.8,5.0,,7.6,7.25,10.0,Fase 3 (7º e 8º ano),1,,7.618,Ametista,2022,4.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1000,Aluno-1000,ALFA,ALFA U - G2/G3,8.0,Feminino,2023,Pública,8.5,9.4,3.77,6.25,7.0,8.92,10.0,ALFA (1° e 2° ano),0,,7.9162,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1000,Aluno-1000,1N,1N,9.0,Feminino,2023,Pública,9.002,9.5454545455,6.26,8.125,7.75,7.835,10.0,Fase 1 (3° e 4° ano),0,Cursando,8.364790909100002,Topázio,2024,1.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1001,Aluno-1001,ALFA,ALFA U - G2/G3,9.0,Feminino,2023,Pública,9.0,9.1,7.52,7.5,7.8,9.17,5.0,Fase 1 (3° e 4° ano),-1,,8.1162,Topázio,2023,0.0,0.0,1,Moderada (−1 fase)
RA-1001,Aluno-1001,1N,1N,10.0,Feminino,2023,Pública,7.502,9.347826087,7.51,7.916666667,7.75,7.92,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.7964318841,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1002,Aluno-1002,ALFA,ALFA U - G2/G3,9.0,Feminino,2023,Pública,9.0,9.7,7.52,6.25,7.0,8.92,5.0,Fase 1 (3° e 4° ano),-1,,7.9012,Ametista,2023,0.0,0.0,1,Moderada (−1 fase)
RA-1002,Aluno-1002,ALFA,ALFA N - G2/G3,10.0,Feminino,2023,Pública,9.002,7.833333333500001,7.51,7.5,9.25,8.25,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.967866666700001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1003,Aluno-1003,ALFA,ALFA V - G0/G1,8.0,Masculino,2023,Pública,9.0,8.5,7.52,7.5,4.0,8.75,10.0,ALFA (1° e 2° ano),0,,7.6522,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1003,Aluno-1003,ALFA,ALFA J - G2/G3,9.0,Masculino,2023,Pública,8.002,8.6944444445,7.51,6.875,8.25,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.627588888900001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1004,Aluno-1004,ALFA,ALFA V - G0/G1,8.0,Feminino,2023,Pública,9.0,9.6,7.52,6.875,7.9,7.42,10.0,ALFA (1° e 2° ano),0,,8.3137,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1004,Aluno-1004,ALFA,ALFA J - G2/G3,9.0,Feminino,2023,Pública,9.502,9.25,7.51,7.5,7.5,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.801200000000001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1005,Aluno-1005,ALFA,ALFA V - G0/G1,8.0,Masculino,2023,Pública,9.5,7.9,7.52,7.5,8.8,8.165,10.0,ALFA (1° e 2° ano),0,,8.4252,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1006,Aluno-1006,ALFA,ALFA V - G0/G1,8.0,Feminino,2023,Pública,9.0,9.3,7.52,7.5,8.7,8.0,10.0,ALFA (1° e 2° ano),0,,8.5922,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1006,Aluno-1006,ALFA,ALFA J - G2/G3,9.0,Feminino,2023,Pública,8.502,8.4444444445,7.51,7.5,5.0,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,7.040088888900001,Ametista,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1007,Aluno-1007,ALFA,ALFA V - G0/G1,,Masculino,2023,Pública,9.0,7.4,7.52,7.5,8.3,7.68,10.0,ALFA (1° e 2° ano),0,,8.0782,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1008,Aluno-1008,ALFA,ALFA V - G0/G1,8.0,Masculino,2023,Pública,9.0,8.6,7.52,5.9375,8.4,7.5,10.0,ALFA (1° e 2° ano),0,,8.13595,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1008,Aluno-1008,ALFA,ALFA I - G2/G3,9.0,Masculino,2023,Pública,7.002,6.483957219,7.51,7.1875,7.0,7.5,5.0,Fase 1 (3° e 4° ano),-1,Cursando,6.8667414438000005,Ágata,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1009,Aluno-1009,ALFA,ALFA Y - G0/G1,8.0,Masculino,2023,Pública,0.0,9.0,3.77,7.5,8.8,7.84,10.0,ALFA (1° e 2° ano),0,,7.245,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1009,Aluno-1009,ALFA,ALFA E - G2/G3,9.0,Masculino,2023,Pública,8.002,6.8863636365000005,2.51,6.5625,7.5,6.553333333,5.0,Fase 1 (3° e 4° ano),-1,Cursando,6.395389393900001,Ágata,2024,0.0,1.0,1,Moderada (−1 fase)
RA-101,Aluno-101,4,A,15.0,Menina,2021,Escola Pública,7.9,8.3,7.5,,7.6,6.833,5.0,Fase 5 (1º EM),-1,,7.305,Ametista,2022,4.0,1.0,1,Moderada (−1 fase)
RA-1010,Aluno-1010,ALFA,ALFA Y - G0/G1,8.0,Masculino,2023,Pública,9.5,10.0,3.77,7.8125,9.4,8.59,10.0,ALFA (1° e 2° ano),0,,8.70645,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1011,Aluno-1011,ALFA,ALFA Y - G0/G1,,Masculino,2023,Pública,9.5,8.6,3.77,7.1875,5.2,7.675,10.0,ALFA (1° e 2° ano),0,,7.33095,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1012,Aluno-1012,ALFA,ALFA Y - G0/G1,8.0,Feminino,2023,Pública,10.0,9.9,3.77,7.1875,6.6,7.845,10.0,ALFA (1° e 2° ano),0,,7.96495,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1012,Aluno-1012,ALFA,ALFA C - G0/G1,9.0,Feminino,2023,Pública,9.502,9.523809524,2.51,8.125,9.75,8.443333333,5.0,Fase 1 (3° e 4° ano),-1,Cursando,8.057128571400002,Topázio,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1013,Aluno-1013,ALFA,ALFA Y - G0/G1,7.0,Masculino,2023,Pública,9.0,9.6,4.39,5.625,8.3,5.76,10.0,ALFA (1° e 2° ano),0,,7.6237,Ametista,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1013,Aluno-1013,ALFA,ALFA E - G2/G3,8.0,Masculino,2023,Pública,9.002,5.6937799039999994,2.51,5.0,7.75,4.72,5.0,Fase 1 (3° e 4° ano),-1,Cursando,5.7839559808,Quartzo,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1014,Aluno-1014,ALFA,ALFA Y - G0/G1,,Feminino,2023,Pública,9.0,9.7,3.77,7.5,8.2,8.255,10.0,ALFA (1° e 2° ano),0,,8.2582,Topázio,2023,0.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1014,Aluno-1014,ALFA,ALFA E - G2/G3,8.0,Feminino,2023,Pública,8.502,7.8863636365000005,2.51,6.875,5.25,7.0,5.0,Fase 1 (3° e 4° ano),-1,Cursando,6.315972727300001,Ágata,2024,0.0,1.0,1,Moderada (−1 fase)
RA-1015,Aluno-1015,FASE 1,1A,10.0,Feminino,2023,Pública,10.0,9.3,6.27,7.34375,6.3,7.786666667,5.0,Fase 2 (5° e 6° ano),-1,,7.538908333,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1015,Aluno-1015,2B,2B,11.0,Feminino,2023,Pública,7.918,7.8214285715,7.51,6.041666667,4.0,5.66,10.0,Fase 2 (5° e 6° ano),0,Cursando,6.643252381000002,Ágata,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1016,Aluno-1016,FASE 1,1A,10.0,Feminino,2023,Pública,10.0,9.5,7.52,7.34375,6.7,7.73,5.0,Fase 2 (5° e 6° ano),-1,,7.762575,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1017,Aluno-1017,FASE 1,1A,,Masculino,2023,Pública,0.0,8.0,5.02,7.5,7.7,8.116666667,5.0,Fase 2 (5° e 6° ano),-1,,6.505333333,Ágata,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1017,Aluno-1017,2C,2C,12.0,Masculino,2023,Pública,9.502,7.8095238095,6.26,7.1875,5.0,7.443333333,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.345521428500001,Ametista,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1018,Aluno-1018,FASE 1,1A,,Masculino,2023,Pública,0.0,8.5,5.02,7.5,6.3,8.06,10.0,Fase 1 (3° e 4° ano),0,,6.824,Ágata,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1018,Aluno-1018,1A,1A,10.0,Masculino,2023,Pública,8.502,7.727272727,6.26,8.4375,8.25,8.45,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.7054045454,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1019,Aluno-1019,FASE 1,1A,8.0,Feminino,2023,Pública,7.5,9.1,5.02,6.875,4.3,7.836666667,10.0,ALFA (1° e 2° ano),1,,7.177033333,Ametista,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1019,Aluno-1019,1A,1A,9.0,Feminino,2023,Pública,9.502,9.3073593075,6.26,7.8125,8.75,8.616666667,10.0,Fase 1 (3° e 4° ano),0,Cursando,8.692255194900001,Topázio,2024,1.0,1.0,0,Adequada/adiantada (≥ 0)
RA-102,Aluno-102,4,A,14.0,Menino,2019,Escola Pública,6.7,7.7,6.9,,5.7,6.0,10.0,Fase 4 (9º ano),0,,6.922,Ágata,2022,4.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1020,Aluno-1020,FASE 1,1A,9.0,Feminino,2023,Pública,10.0,9.1,2.52,7.1875,6.1,8.056666667,10.0,Fase 1 (3° e 4° ano),0,,7.612283333,Ametista,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1020,Aluno-1020,1A,1A,10.0,Feminino,2023,Pública,9.002,9.7727272725,6.88,8.4375,9.0,8.84,10.0,Fase 1 (3° e 4° ano),0,Cursando,8.9544954545,Topázio,2024,1.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1021,Aluno-1021,FASE 1,1A,,Masculino,2023,Pública,8.0,9.2,3.77,7.1875,3.3,7.893333333,10.0,Fase 1 (3° e 4° ano),0,,6.964616667,Ágata,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1021,Aluno-1021,1A,1A,10.0,Masculino,2023,Pública,9.502,9.318181818,7.51,8.4375,8.0,7.95,5.0,Fase 2 (5° e 6° ano),-1,Cursando,8.0985863636,Topázio,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1022,Aluno-1022,FASE 1,1A,9.0,Masculino,2023,Pública,8.5,8.5,3.77,7.1875,4.7,7.893333333,10.0,Fase 1 (3° e 4° ano),0,,7.164616667,Ametista,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1022,Aluno-1022,1A,1A,10.0,Masculino,2023,Pública,9.502,9.318181818,6.26,7.5,6.5,8.116666667,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.613169697000002,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1023,Aluno-1023,FASE 1,1A,,Feminino,2023,Pública,10.0,10.0,6.27,8.75,9.1,9.06,10.0,Fase 1 (3° e 4° ano),0,,9.1342,Topázio,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1023,Aluno-1023,2B,2B,10.0,Feminino,2023,Pública,9.502,9.511904762,9.375,8.958333333,9.5,9.563333333,10.0,Fase 2 (5° e 6° ano),0,Cursando,9.498580952300001,Topázio,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1024,Aluno-1024,FASE 1,1B,10.0,Feminino,2023,Pública,0.0,10.0,6.27,9.21875,9.8,8.95,5.0,Fase 2 (5° e 6° ano),-1,,7.788875,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1024,Aluno-1024,1B,1B,11.0,Feminino,2023,Pública,8.002,10.0,7.51,8.4375,10.0,8.783333333,5.0,Fase 2 (5° e 6° ano),-1,Cursando,8.6516166666,Topázio,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1025,Aluno-1025,FASE 1,1B,9.0,Masculino,2023,Pública,8.5,8.9,7.52,7.65625,7.5,7.836666667,10.0,Fase 1 (3° e 4° ano),0,,8.215158333,Topázio,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1025,Aluno-1025,1A,1A,10.0,Masculino,2023,Pública,9.002,7.727272727,7.51,8.4375,9.0,7.783333333,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.897071212,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1026,Aluno-1026,FASE 1,1B,,Feminino,2023,Pública,8.5,9.8,7.52,6.40625,3.2,7.06,2.5,Fase 4 (9° ano),-3,,6.494825,Ágata,2023,1.0,0.0,1,Severa (≤ −2 fases)
RA-1027,Aluno-1027,FASE 1,1B,10.0,Feminino,2023,Pública,9.5,9.7,7.52,7.5,6.0,8.333333333,5.0,Fase 2 (5° e 6° ano),-1,,7.748866667,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1027,Aluno-1027,2B,2B,11.0,Feminino,2023,Pública,9.502,10.0,7.51,7.916666667,5.25,8.39,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.220866666700001,Topázio,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1028,Aluno-1028,FASE 1,1B,11.0,Masculino,2023,Pública,0.0,9.2,7.52,7.34375,5.0,7.946666667,5.0,Fase 2 (5° e 6° ano),-1,,6.415708333,Ágata,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1028,Aluno-1028,1B,1B,12.0,Masculino,2023,Pública,8.002,7.055335968,5.63,6.875,7.5,8.393333333,5.0,Fase 3 (7° e 8° ano),-2,Cursando,7.1404338602,Ametista,2024,1.0,1.0,1,Severa (≤ −2 fases)
RA-1029,Aluno-1029,FASE 1,1C,9.0,Feminino,2023,Pública,10.0,6.3,3.77,7.5,5.4,8.006666667,10.0,Fase 1 (3° e 4° ano),0,,7.058533333,Ametista,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1029,Aluno-1029,1C,1C,10.0,Feminino,2023,Pública,9.002,8.7954545455,6.885,7.5,8.75,7.25,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.797790909100001,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-103,Aluno-103,4,A,13.0,Menina,2020,Rede Decisão,7.9,8.7,7.5,,7.3,7.708,10.0,Fase 3 (7º e 8º ano),1,,8.107,Topázio,2022,4.0,2.0,0,Adequada/adiantada (≥ 0)
RA-103,Aluno-103,FASE 5,5A,14.0,Feminino,2020,Privada - Programa de Apadrinhamento,8.3,9.2,5.0,8.125,7.1,8.09,10.0,Fase 4 (9° ano),1,,8.0239,Topázio,2023,5.0,3.0,0,Adequada/adiantada (≥ 0)
RA-103,Aluno-103,5A,5A,15.0,Feminino,2021,Privada - Programa de Apadrinhamento,8.334,9.603174603333335,6.26,7.875,9.166666666666666,8.872,10.0,Fase 5 (1° EM),0,Cursando,8.775268254,Topázio,2024,5.0,3.0,0,Adequada/adiantada (≥ 0)
RA-1030,Aluno-1030,FASE 1,1C,,Masculino,2023,Pública,8.5,9.7,3.77,6.875,6.9,8.39,5.0,Fase 2 (5° e 6° ano),-1,,7.4027,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1030,Aluno-1030,2D,2D,12.0,Masculino,2023,Pública,7.418,8.28320802,4.385,7.8125,8.0,7.61,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.7401916040000005,Ametista,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1031,Aluno-1031,FASE 1,1D,10.0,Masculino,2023,Pública,8.0,8.8,7.52,6.666666667,5.9,7.006666667,5.0,Fase 2 (5° e 6° ano),-1,,7.0602,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1031,Aluno-1031,1C,1C,11.0,Masculino,2023,Pública,9.502,8.6363636365,7.51,5.3125,6.25,5.83,5.0,Fase 2 (5° e 6° ano),-1,Cursando,6.8757227273,Ágata,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1032,Aluno-1032,FASE 1,1D,,Masculino,2023,Pública,8.5,9.5,7.52,7.291666667,6.0,7.563333333,5.0,Fase 2 (5° e 6° ano),-1,,7.434033333,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1032,Aluno-1032,1C,1C,11.0,Masculino,2023,Pública,8.502,9.75,7.51,7.8125,8.0,7.92,5.0,Fase 2 (5° e 6° ano),-1,Cursando,8.01645,Topázio,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1033,Aluno-1033,FASE 1,1D,,Feminino,2023,Pública,9.0,8.9,7.52,8.125,7.9,9.006666667,5.0,Fase 2 (5° e 6° ano),-1,,8.126033333,Topázio,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1034,Aluno-1034,FASE 1,1D,10.0,Masculino,2023,Pública,7.5,9.0,7.52,8.333333333,8.3,8.393333333,5.0,Fase 2 (5° e 6° ano),-1,,7.9642,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1034,Aluno-1034,2B,2B,11.0,Masculino,2023,Pública,7.502,8.0833333335,7.51,7.708333333,7.5,8.223333333,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.0333666666,Topázio,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1035,Aluno-1035,FASE 1,1D,9.0,Masculino,2023,Pública,0.0,8.3,7.52,7.708333333,5.8,7.78,10.0,Fase 1 (3° e 4° ano),0,,6.888833333,Ágata,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1035,Aluno-1035,1C,1C,10.0,Masculino,2023,Pública,9.502,9.0227272725,7.51,8.4375,7.0,7.92,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.833495454500001,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1036,Aluno-1036,FASE 1,1F,11.0,Feminino,2023,Pública,0.0,9.6,3.77,9.0625,8.0,8.336666667,5.0,Fase 2 (5° e 6° ano),-1,,6.970583333,Ágata,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1036,Aluno-1036,2H,2H,12.0,Feminino,2023,Pública,10.002,9.0890269155,7.51,7.65625,7.0,7.7475,10.0,Fase 2 (5° e 6° ano),0,Cursando,8.2841303831,Topázio,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1037,Aluno-1037,FASE 1,1F,10.0,Masculino,2023,Pública,9.0,8.4,7.52,8.59375,6.7,8.17,5.0,Fase 2 (5° e 6° ano),-1,,7.655575,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1038,Aluno-1038,FASE 1,1F,10.0,Feminino,2023,Privada,8.0,9.3,7.52,8.90625,6.5,8.17,5.0,Fase 2 (5° e 6° ano),-1,,7.736825,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1038,Aluno-1038,2I,2I,11.0,Feminino,2023,Pública,8.002,7.5438596495,7.51,7.5,8.5,7.273333333,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.9646385965,Ametista,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1039,Aluno-1039,FASE 1,1F,,Masculino,2023,Pública,8.0,9.9,7.52,8.125,6.2,8.056666667,5.0,Fase 3 (7° e 8° ano),-2,,7.686033333,Ametista,2023,1.0,0.0,1,Severa (≤ −2 fases)
RA-1039,Aluno-1039,2I,2I,13.0,Masculino,2023,Pública,8.002,9.722222222,7.51,7.5,7.25,6.77,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.549644444400001,Ametista,2024,2.0,1.0,1,Moderada (−1 fase)
RA-104,Aluno-104,4,A,18.0,Menino,2022,Escola Pública,7.9,8.7,7.5,,3.7,6.708,2.5,Fase 8 (Universitários),-4,,6.315,Ágata,2022,4.0,0.0,1,Severa (≤ −2 fases)
RA-104,Aluno-104,FASE 5,5F,,Masculino,2022,Pública,0.0,7.7,2.52,5.625,2.6,5.6275,2.5,Fase 8 (Universitários),-3,,4.25,Quartzo,2023,5.0,1.0,1,Severa (≤ −2 fases)
RA-1040,Aluno-1040,FASE 1,1F,,Masculino,2023,Pública,10.0,9.3,7.52,7.8125,6.6,8.06,5.0,Fase 2 (5° e 6° ano),-1,,7.81545,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1040,Aluno-1040,2I,2I,12.0,Masculino,2023,Pública,9.502,8.5416666665,7.51,7.5,8.25,7.273333333,5.0,Fase 3 (7° e 8° ano),-1,Cursando,7.764199999900001,Ametista,2024,2.0,1.0,1,Moderada (−1 fase)
RA-1041,Aluno-1041,FASE 1,1F,10.0,Feminino,2023,Pública,10.0,7.2,7.52,7.8125,3.3,8.003333333,5.0,Fase 2 (5° e 6° ano),-1,,6.724116667,Ágata,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1042,Aluno-1042,FASE 1,1G,,Masculino,2023,Pública,0.0,6.5,3.77,7.708333333,4.3,7.666666667,5.0,Fase 2 (5° e 6° ano),-1,,5.331166667,Quartzo,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1043,Aluno-1043,FASE 1,1G,10.0,Masculino,2023,Pública,10.0,7.9,6.27,7.708333333,2.5,7.833333333,5.0,Fase 2 (5° e 6° ano),-1,,6.5447,Ágata,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1043,Aluno-1043,1H,1H,11.0,Masculino,2023,Pública,10.002,7.994071146,7.51,7.291666667,8.25,6.553333333,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.539847562500002,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1044,Aluno-1044,FASE 1,1G,10.0,Feminino,2023,Pública,8.0,9.7,7.52,7.5,6.1,8.336666667,5.0,Fase 2 (5° e 6° ano),-1,,7.629533333,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1044,Aluno-1044,2G,2G,11.0,Feminino,2023,Pública,7.502,9.523809524,7.51,7.1875,7.0,7.21,10.0,Fase 2 (5° e 6° ano),0,Cursando,7.966711904800001,Ametista,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1045,Aluno-1045,FASE 1,1H,11.0,Feminino,2023,Pública,9.5,9.4,7.52,7.708333333,7.9,8.28,5.0,Fase 2 (5° e 6° ano),-1,,8.089033333,Topázio,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1046,Aluno-1046,FASE 1,1H,9.0,Masculino,2023,Pública,0.0,8.5,3.77,8.541666667,6.3,8.223333333,10.0,Fase 1 (3° e 4° ano),0,,6.835833333,Ágata,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1047,Aluno-1047,FASE 1,1H,9.0,Masculino,2023,Pública,10.0,8.5,3.77,8.125,6.9,7.893333333,10.0,Fase 1 (3° e 4° ano),0,,7.848366667,Ametista,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1048,Aluno-1048,FASE 1,1H,10.0,Feminino,2023,Privada,8.5,9.5,3.77,8.541666667,8.2,8.5,5.0,Fase 2 (5° e 6° ano),-1,,7.811366667,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1048,Aluno-1048,2A,2A,11.0,Feminino,2023,Privada,8.502,6.833333333500001,6.255,7.708333333,6.25,8.283333333,10.0,Fase 1 (3° e 4° ano),1,Cursando,7.5198666666000005,Ametista,2024,2.0,1.0,0,Adequada/adiantada (≥ 0)
RA-1049,Aluno-1049,FASE 1,1H,10.0,Masculino,2023,Pública,10.0,7.7,7.52,8.125,6.3,7.943333333,5.0,Fase 2 (5° e 6° ano),-1,,7.443366667,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1049,Aluno-1049,1J,1J,11.0,Masculino,2023,Pública,9.502,8.03030303,7.51,7.65625,4.5,6.745,5.0,Fase 2 (5° e 6° ano),-1,Cursando,6.821885606,Ágata,2024,1.0,1.0,1,Moderada (−1 fase)
RA-105,Aluno-105,4,A,17.0,Menino,2016,Rede Decisão,7.9,8.2,5.6,,6.7,7.417,2.5,Fase 7 (3º EM),-3,,6.846,Ágata,2022,4.0,6.0,1,Severa (≤ −2 fases)
RA-1050,Aluno-1050,FASE 1,1H,11.0,Masculino,2023,Pública,9.0,9.2,6.27,8.125,7.2,8.223333333,5.0,Fase 2 (5° e 6° ano),-1,,7.764366667,Ametista,2023,1.0,0.0,1,Moderada (−1 fase)
RA-1051,Aluno-1051,FASE 1,1H,9.0,Feminino,2023,Pública,8.5,8.9,6.27,8.75,8.4,8.613333333,10.0,Fase 1 (3° e 4° ano),0,,8.534866667,Topázio,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1052,Aluno-1052,FASE 1,1H,,Masculino,2023,Pública,0.0,9.0,7.52,7.916666667,5.3,7.833333333,10.0,Fase 1 (3° e 4° ano),0,,6.960333333,Ágata,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1052,Aluno-1052,1J,1J,10.0,Masculino,2023,Pública,5.834,9.128787879,6.26,8.59375,8.25,8.4975,5.0,Fase 2 (5° e 6° ano),-1,Cursando,7.744032575800001,Ametista,2024,1.0,1.0,1,Moderada (−1 fase)
RA-1053,Aluno-1053,FASE 1,1J,9.0,Masculino,2023,Pública,0.0,9.1,6.27,8.958333333,8.6,8.616666667,10.0,Fase 1 (3° e 4° ano),0,,7.776166667,Ametista,2023,1.0,0.0,0,Adequada/adiantada (≥ 0)
RA-1054,Aluno-1054,FASE 1,1J,,Masculino,2023,Pública,8.5,8.6,7.52,7.5,6.6,7.836666667,5.0,Fase 3 (7° e 8° ano),-2,,7.459533333,Ametista,2023,1.0,0.0,1,Severa (≤ −2 fases)
RA-1054,Aluno-1054,2G,2G,13.0,Masculino,2023,Pública,9.502,7.3291925465,7.51,7.1875,6.25,6.75,5.0,Fase 3 (7° e 8° ano),-1,Cursando,6.985788509300001,Ágata,2024,2.0,1.0,1,Moderada (−1 fase)
RA-1055,Aluno-1055,FASE 1,1J,11.0,Masculino,2023,Pública,0.0,7.2,7.52,7.291666667,5.5,7.276666667,5.0,Fase 2 (5° e 6° ano),-1,,5.9765,Quartzo,2023,1.0,0.0,1,Moderada (−1 fase)
